Número,Título,Autor,Co-autor,Ano de Publicação,Título original,Tradutor,Co-tradutor,Ano de edição,index
174,Trombetas da Revolução,Lloyd Biggle Jr,,1971,The Still Small Voice of Trumpets,Eurico da Fonseca,,1969,175
175,O Mundo do Abismo,James White,,1972,The Watch Below,Eurico da Fonseca,,1966,176
176,O Outro Lado do Espaço,Fred Hoyle,,1972,Ossian's Ride,Eurico da Fonseca,,1961,177
177,Os Filhos do Futuro 1º volume,A E Van Vogt,,1972,Children of Tomorrow,Eurico da Fonseca,,1970,178
178,Os Filhos do Futuro 2º volume,A E Van Vogt,,1972,Children of Tomorrow,Eurico da Fonseca,,1970,179
179,O Dia em que o Sol Desapareceu,Frederik Pohl,C M Kornbluth,1972,Wolfbane,Eurico da Fonseca,,1957,180
180,A Terra dos Sonhos Felizes,John Brunner,,1972,The Dreaming Earth,Eurico da Fonseca,,1963,181
181,Prisão Aberta,James White,,1972,The Escape Orbit,Eurico da Fonseca,,1965,182
182,Estrada da Glória 1º volume,Robert A Heinlein,,1972,Glory Road,Eurico da Fonseca,,1963,183
183,Estrada da Glória 2º volume,Robert A Heinlein,,1972,Glory Road,Eurico da Fonseca,,1963,184
184,O Deus Impassível,Clifford D Simak,,1972,A Choice of Gods,Eurico da Fonseca,,1972,185
185,Batalha Amarga,Frederik Pohl,,1972,Drunkard's Walk,Eurico da Fonseca,,1960,186
186,O Planeta Neutral,Poul Anderson,,1972,Mayday Orbit,Eurico da Fonseca,,1961,187
187,O Terceiro Ouvido,Curt Siodmak,,1973,The Third Ear,Eurico da Fonseca,,1971,188
188,Os Mercadores do Espaço,Frederik Pohl,C M Kornbluth,1973,The Space Merchants,Eurico da Fonseca,,1952,189
189,Busca nos Céus,Frederik Pohl,C M Kornbluth,1973,Search the Sky,Eurico da Fonseca,,1954,190
190,Agência de Mágicos,Robert A Heinlein,,1973,Waldo and Magic Inc,Eurico da Fonseca,,1950,191
191,Juventude Eterna,E C Tubb,,1973,S T A R Flight,Eurico da Fonseca,,1969,192
192,O Homem que Pintava as Estrelas,Lan Wright,,1973,The Pictures of Pavanne,Eurico da Fonseca,,1968,193
193,Depois da Derrocada,Philip E High,,1973,These Savage Futurians,Eurico da Fonseca,,1969,194
194,Ninguém Morre Neste Mundo,Frederik Pohl,,1973,The Age of the Pussyfoot,Eurico da Fonseca,,1965,195
195,O Ponto Ómega,George Zebrowski,,1973,The Omega Point,Eurico da Fonseca,,1972,196
196,A Invasão dos Insectos,Ray Cummings,,1973,The Insect Invasion,Eurico da Fonseca,,1967,197
197,As Horas de Iraz,L Sprague de Camp,,1973,The Clocks of Iraz,Eurico da Fonseca,,1971,198
198,À Luz das Estrelas,Theodore Sturgeon,,1973,Starshine,Eurico da Fonseca,,1966,199
199,A Última Arma,Algis Budrys,,1974,The Falling Torch,Eurico da Fonseca,,1959,200
200,As Máquinas da Destruição,Fred Saberhagen,,1974,Berserker,Eurico da Fonseca,,1967,201
201,Irmão Assassino,Fred Saberhagen,,1974,Brother Assassin,Eurico da Fonseca,,1969,202
202,O Mundo dos Homens Perfeitos,John Brunner,,1974,Entry to Elsewhen,Maria Emília Ferros Moura,,1972,203
203,Silêncio no Espaço,John Rackam,,1974,Earthstrings,Eurico da Fonseca,,1972,204
204,Mundo Aquático,Hal Clement,,1974,Ocean on Top,Maria Emília Ferros Moura,,1973,205
205,Os Dramaturgos de Yan,John Brunner,,1974,The Dramaturges of Yan,Eurico da Fonseca,,1971,206
206,O Mundo dos Túmulos,Clifford D Simak,,1974,Cemetery World,Maria Emília Ferros Moura,,1973,207
207,A Máquina de Governar,Philip K Dick,,1974,Vulcan's Hammer,Eurico da Fonseca,,1960,208
208,O Amanhã Está Muito Longe,James White,,1974,Tomorrow is Too Far,Eurico da Fonseca,,1971,209
209,Gladiador da Lei,Frederik Pohl,C M Kornbluth,1974,Gladiator-at-Law,Eurico da Fonseca,,1955,210
210,Os Filhos dos Nossos Filhos,Clifford D Simak,,1974,Our Children's Children,Eurico da Fonseca,,1974,211
211,Entre Planetas,Robert A Heinlein,,1975,Between Planets,Eurico da Fonseca,,1951,212
212,Corrupção nas Galáxias,Keith Laumer,,1975,Envoy to New Worlds,Eurico da Fonseca,,1963,213
213,Os Homens das Estrelas,Stuart J Byrne,,1975,Starman,Eurico da Fonseca,,1969,214
214,Hospital no Espaço,James White,,1975,Hospital Station,Eurico da Fonseca,,1962,215
215,Mundo sem Tempo,Charles Eric Maine,,1975,The Random Factor,Eurico da Fonseca,,1971,216
216,Três Mundos e um Médico,Murray Leinster,,1975,SOS From Three Worlds,Eurico da Fonseca,,1966,217
217,Um Estranho Numa Terra Estranha 1º volume,Robert A Heinlein,,1975,Stranger in a Strange Land,Eurico da Fonseca,,1961,218
218,Um Estranho Numa Terra Estranha 2º volume,Robert A Heinlein,,1975,Stranger in a Strange Land,Eurico da Fonseca,,1961,219
219,Um Estranho Numa Terra Estranha 3º volume,Robert A Heinlein,,1975,Stranger in a Strange Land,Eurico da Fonseca,,1961,220
220,Médico Espacial,James White,,1975,Star Surgeon,Eurico da Fonseca,,1963,221
221,Eclipse Total,John Brunner,,1975,Total Eclipse,Eurico da Fonseca,,1974,222
222,A Cidade do Céu,Curt Siodmak,,1976,City in the Sky,Maria Emília Ferros Moura,,1974,223
223,A Grande Operação,James White,,1976,Major Operation,Eurico da Fonseca,,1971,224
224,A Árvore Sagrada,Ray Bradbury,,1976,The Halloween Tree,Maria Emília Ferros Moura,,1972,225
225,Em Busca do Futuro,A E Van Vogt,,1976,Quest for the Future,Eurico da Fonseca,,1970,226
226,Os Manipuladores,Robert A Heinlein,,1976,The Puppet Masters,Eurico da Fonseca,,1951,227
227,O Outro Lado do Tempo,Clifford D Simak,,1976,Enchanted Pilgrimage,Eurico da Fonseca,,1975,228
228,As Luzes do Céu São Estrelas,Fredric Brown,,1976,The Lights in the Sky Are Stars,Eurico da Fonseca,,1953,229
229,A Batalha da Eternidade,A E Van Vogt,,1976,The Battle of Forever,Eurico da Fonseca,,1971,230
230,Passaporte Para o Eterno,J G Ballard,,1976,Passport to Eternity,Maria Emília Ferros Moura,,1963,231
231,Os Possuídos,Frederik Pohl,,1976,A Plague of Pythons,Eurico da Fonseca,,1964,232
232,O Vale da Criação,Edmond Hamilton,,1976,The Valley of Creation,Maria Emília Ferros Moura,,1964,233
233,O Homem que Via o Futuro,Clifford D Simak,,1976,So Bright the Vision,Eurico da Fonseca,,1968,234
234,O Homem dos Mil Nomes,A E Van Vogt,,1977,The Man With a Thousand Names,Eurico da Fonseca,,1974,235
235,O Erro do Tempo,John Brunner,,1977,The Wrong End of Time,Maria Emília Ferros Moura,,1971,236
236,Equipagem Espacial,Robert A Heinlein,,1977,Have Spacesuit - Will Travel,Eurico da Fonseca,,1958,237
237,Regresso aos Céus,Edmond Hamilton,,1977,Return to the Stars,Eurico da Fonseca,,1970,238
238,A Cratera da Morte,Clifford D Simak,,1977,Trouble With Tycho,Eurico da Fonseca,,1961,239
239,A Sexta Parte do Mundo,Arthur C Clarke,,1977,The Deep Range,Maria Emília F Moura,,1954,240
240,Os Permutadores de Mundos,John Brunner,,1977,The World Swappers,Eurico da Fonseca,,1959,241
241,Tigre! Tigre!,Alfred Bester,,1977,Tiger! Tiger!,Eurico da Fonseca,,1956,242
242,O Planeta de Shakespeare,Clifford D Simak,,1977,Shakespeare's Planet,Eurico da Fonseca,,1976,243
243,A História do Futuro 1º volume,Robert A Heinlein,,1977,Time Enough for Love,Eurico da Fonseca,,1973,244
244,A História do Futuro 2º volume,Robert A Heinlein,,1977,Time Enough for Love,Eurico da Fonseca,,1973,245
245,A História do Futuro 3º volume,Robert A Heinlein,,1977,Time Enough for Love,Eurico da Fonseca,,1973,246
246,O País de Outubro,Ray Bradbury,,1978,The October Country,Maria Emília Ferros Moura,,1956,247
247,Super-Cérebro,A E Van Vogt,,1978,Supermind,Eurico da Fonseca,,1974,248
248,Apocalipse 2000,Guy Snyder,,1978,Testament XXI,Eurico da Fonseca,,1973,249
249,Exilados da Terra,Ben Bova,,1978,Exiled From Earth,Eurico da Fonseca,,1971,250
250,Para Além do Futuro,C M Kornbluth,,1978,Best SF Stories of C M Kornbluth,Eurico da Fonseca,,1968,251
251,Os Napoleões das Estrelas,Pierre Barbet,,1978,Les Grognards d'Eridan,Eurico da Fonseca,,1970,252
252,Os Abismos do Espaço,Fred Hoyle,Geoffrey Hoyle,1978,Into Deepest Space,Eurico da Fonseca,,1974,253
253,O Colosso Anarquista,A E Van Vogt,,1978,The Anarchistic Colossus,Eurico da Fonseca,,1977,254
254,As Vozes de Marte,Ray Bradbury,,1978,I Sing the Body Electric,Maria Emília Ferros Moura,,1969,255
255,Salvamento no Espaço,Cleve Cartmill,,1978,The Space Scavengers,Eurico da Fonseca,,1975,256
256,Trevas nas Estrelas,Edmond Hamilton,,1978,The Haunted Stars,Eurico da Fonseca,,1960,257
257,O Tempo do Impossível,John D MacDonald,,1978,Ballroom of the Skies,Eurico da Fonseca,,1951,258
