Autor,alias
C M Kornbluth,C-M-Kornbluth
Geoffrey Hoyle,Geoffrey-Hoyle
Jean Crémieux,Jean-Cremieux
Roger Zelazny,Roger-Zelazny
Boris Strugatski,Boris-Strugatski
Boris Strugatski,Boris-Strugatski
Isaac Asimov,Isaac-Asimov
Isaac Asimov,Isaac-Asimov
Isaac Asimov,Isaac-Asimov
Isaac Asimov,Isaac-Asimov
Shawna McCarthy,Shawna-McCarthy
Jack Williamson,Jack-Williamson
Jack Williamson,Jack-Williamson
Robert Lowndes,Robert-Lowndes
J Elliot,J-Elliot
Bruce Sterling,Bruce-Sterling
